Id_RipUnit,Id_Reach,Basin,Sub_Basin,Reach,Bank,RipUnit,Q25,Q50_Median,Q75,Count,Mean (m),Std,Basal_Area (m2/ha),,
47,24,Arve,Giffre,A-G7,Left ,A-G7-Left,11,19.8,27.5,372,19.79,9.43,29.30518,,
48,24,Arve,Giffre,A-G7,Right ,A-G7-Right,18.2,23.6,28.2,861,23.14,6.91,25.24363,,
49,25,Arve,Giffre,A-G8,Left ,A-G8-Left,7.12,9.9,14.38,330,11.29,4.78,15.04665,,
50,25,Arve,Giffre,A-G8,Right ,A-G8-Right,10.4,14.35,17.98,370,14.21,5.13,39.63904,,
51,26,Arve,Menoge,A-M1,Left ,A-M1-Left,18.7,24.1,28.1,987,23.17,6.71,18.9,,
52,26,Arve,Menoge,A-M1,Right ,A-M1-Right,18.52,23.5,27,1010,22.49,6.98,32.24602,,
53,27,Arve,Menoge,A-M2,Left ,A-M2-Left,15.3,19.2,22.7,1079,19.11,5.59,39.66647,,
54,27,Arve,Menoge,A-M2,Right ,A-M2-Right,14.2,18.35,22.7,1012,18.44,5.96,37.67629,,
55,28,Arve,Menoge,A-M3,Left ,A-M3-Left,13.1,19.3,24.5,1008,18.93,7.18,34.21338,,
56,28,Arve,Menoge,A-M3,Right ,A-M3-Right,14.1,19,22.6,990,18.27,6.27,20.95252,,
79,40,Rhone,Rhone,R-1,Left ,R1-Left,17.4,20.4,23.2,1919,20.06,4.85,33.94356,,
80,40,Rhone,Rhone,R-1,Right ,R1-Right,14.2,18.1,21.8,1571,18.06,5.43,48.46458,,
81,41,Rhone,Rhone,R-2,Left ,R2-Left,15.1,18.9,23.02,884,19.13,5.84,40.02705,,
82,41,Rhone,Rhone,R-2,Right ,R2-Right,14.2,18.8,22.5,803,18.11,5.7,38.53643,,
83,42,Rhone,Rhone,R-3,Left ,R3-Left,11.5,17.35,21.7,870,16.63,6.47,28.09722,,
84,42,Rhone,Rhone,R-3,Right ,R3-Right,14,18.2,21.4,947,17.41,5.57,32.69762,,
85,43,Rhone,Rhone,R-4,Left ,R4-Left,20.08,24.25,28.72,1220,24.32,6.46,28.07397,,
86,43,Rhone,Rhone,R-4,Right ,R4-Right,18.9,22.3,25.4,1590,22.25,5.44,38.80241,,
87,44,Rhone,Rhone,R-5,Left ,R5-Left,21.2,24.5,28.6,948,24.71,5.8,28.28804,,
88,44,Rhone,Rhone,R-5,Right ,R5-Right,15.6,19.7,23.02,768,19.25,5.53,36.33971,,
71,36,Valserine,Semine,V-S1,Left ,V-S1-Left,22.6,26.7,30.4,941,26,6.19,36.74823,,
72,36,Valserine,Semine,V-S1,Right ,V-S1-Right,21.6,26.3,29.5,880,25.14,6.35,13.4,,
73,37,Valserine,Semine,V-S2,Left ,V-S2-Left,21.3,24.6,29.4,629,24.91,6.18,19.14722,,
74,37,Valserine,Semine,V-S2,Right ,V-S2-Right,17.55,22.2,26,571,21.3,6.2,33.92464,,
75,38,Valserine,Semine,V-S3,Left ,V-S3-Left,16.1,20.5,25.4,829,20.5,6.52,31.68823,,
76,38,Valserine,Semine,V-S3,Right ,V-S3-Right,14.4,20.15,25.02,664,20.13,7.31,57.91015,,
77,39,Valserine,Semine,V-S4,Left ,V-S4-Left,16.8,20.6,23.6,419,20.19,5.52,37.68699,,
78,39,Valserine,Semine,V-S4,Right ,V-S4-Right,18.8,23.95,27.42,384,22.97,6.15,38.73112,,
57,29,Valserine,Valserine,V-V1,Left ,V-V1-Left,15.5,21.85,26.3,346,20.63,7.29,32.38875,,
58,29,Valserine,Valserine,V-V1,Right ,V-V1-Right,13.12,17.15,19.88,174,16.5,5.2,24.23326,,
59,30,Valserine,Valserine,V-V2,Left ,V-V2-Left,14.8,18,22.5,962,18.61,6.17,50.5993,,
60,30,Valserine,Valserine,V-V2,Right ,V-V2-Right,15.8,20.75,25.1,1032,20.3,6.22,36.8436,,
61,31,Valserine,Valserine,V-V3,Left ,V-V3-Left,21.98,26.2,29.8,1064,25.67,6.18,34.25762,,
62,31,Valserine,Valserine,V-V3,Right ,V-V3-Right,20.48,23.2,26,1080,23.05,4.32,55.15098,,
63,32,Valserine,Valserine,V-V4,Left ,V-V4-Left,11.6,14.3,17.85,539,14.87,4.64,34.33305,,
64,32,Valserine,Valserine,V-V4,Right ,V-V4-Right,9.85,14.2,17.25,591,13.96,4.79,37.792,,
65,33,Valserine,Valserine,V-V5,Left ,V-V5-Left,15,23.7,28.9,960,22.65,8.25,41.13893,,
66,33,Valserine,Valserine,V-V5,Right ,V-V5-Right,14.72,20,25.9,1082,20.6,7.39,33.83435,,
67,34,Valserine,Valserine,V-V6,Left ,V-V6-Left,20.4,23.4,26,733,23.3,4.34,37.69676,,
68,34,Valserine,Valserine,V-V6,Right ,V-V6-Right,18.1,22.1,25.35,723,21.73,5.23,35.63361,,
69,35,Valserine,Valserine,V-V7,Left ,V-V7-Left,19.9,23.75,28.98,318,24.19,6.64,30.43611,,
70,35,Valserine,Valserine,V-V7,Right ,V-V7-Right,17.9,22,27.3,333,22.29,6.49,25.90089,,
